Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,49.470001,49.669998,49.180000,49.369999,45.704796,6314800
2019-05-07,49.080002,49.680000,48.220001,49.490002,45.815895,10846100
2019-05-08,49.500000,50.840000,49.500000,50.590000,46.834229,14459600
2019-05-09,50.910000,51.259998,50.119999,51.029999,47.241558,15377500
2019-05-10,51.099998,51.189999,49.860001,50.160000,46.436142,8975300
2019-05-13,48.709999,49.389999,48.340000,48.369999,44.779037,10248300
2019-05-14,48.900002,48.980000,47.560001,47.900002,44.343933,9642400
2019-05-15,47.500000,47.619999,46.630001,47.110001,43.612576,10443800
2019-05-16,46.799999,46.849998,45.410000,45.639999,42.251717,14672800
2019-05-17,45.450001,46.459999,44.549999,44.849998,41.520359,14360100
2019-05-20,45.150002,46.840000,44.910000,46.570000,43.112667,13086100
2019-05-21,46.910000,49.380001,46.910000,49.230000,45.575195,14208300
2019-05-22,49.299999,49.500000,48.400002,48.820000,45.579708,8206200
2019-05-23,48.570000,49.360001,48.270000,48.900002,45.654404,8934600
2019-05-24,49.380001,49.799999,49.049999,49.619999,46.326603,9273900
2019-05-27,49.990002,50.980000,49.990002,50.590000,47.232235,7641500
2019-05-28,50.689999,51.849998,50.459999,51.250000,47.848423,15991100
2019-05-29,50.930000,51.680000,50.630001,51.200001,47.801743,11061200
2019-05-30,51.099998,52.000000,51.060001,51.950001,48.501965,9018800
2019-05-31,51.700001,52.580002,51.130001,51.849998,48.408607,10164600
2019-06-03,52.220001,52.549999,51.650002,52.090000,48.632668,7692400
2019-06-04,52.299999,52.939999,52.020000,52.939999,49.426250,11404900
2019-06-05,52.860001,52.939999,51.189999,51.480000,48.063160,9256500
2019-06-06,52.070000,52.860001,51.450001,52.790001,49.286213,7979900
2019-06-07,52.910000,53.119999,52.360001,52.360001,48.884750,6909100
2019-06-10,52.049999,52.200001,50.970001,51.869999,48.427280,9141300
2019-06-11,52.400002,52.900002,51.840000,52.900002,49.388912,13132800
2019-06-12,52.880001,53.000000,51.919998,52.259998,48.949669,8819600
2019-06-13,52.250000,52.669998,51.270000,51.430000,48.172241,15531800
2019-06-14,51.340000,51.500000,49.939999,50.520000,47.319889,13100600
2019-06-17,50.380001,51.049999,50.139999,50.470001,47.273056,6846000
2019-06-18,50.849998,52.049999,50.779999,51.650002,48.378307,12212600
2019-06-19,51.500000,52.500000,51.110001,52.500000,49.174461,7964300
2019-06-21,52.599998,53.500000,52.599998,52.910000,49.558498,14645400
2019-06-24,52.990002,53.900002,52.639999,53.040001,49.680260,9033600
2019-06-25,52.799999,53.599998,52.250000,52.549999,49.221302,15682100
2019-06-26,52.980000,53.730000,52.700001,53.689999,50.289082,13012300
2019-06-27,53.200001,54.169998,52.939999,53.799999,50.392113,13513800
2019-06-28,54.279999,54.279999,53.349998,53.939999,50.523251,14197400
2019-07-01,54.560001,54.669998,53.509998,53.880001,50.467052,8283200
2019-07-02,53.720001,54.250000,52.770000,53.189999,49.820751,10586200
2019-07-03,53.400002,54.299999,52.529999,54.299999,50.860451,11861800
2019-07-04,54.790001,55.180000,54.680000,55.180000,51.684704,9167100
2019-07-05,55.000000,55.369999,54.320000,55.000000,51.516113,9391600
2019-07-08,55.189999,55.349998,54.820000,54.950001,51.469273,6567500
2019-07-10,55.599998,55.700001,53.790001,54.259998,50.822979,12529600
2019-07-11,54.130001,54.130001,52.810001,53.200001,49.830124,14656000
2019-07-12,53.520000,53.619999,51.799999,52.000000,48.706135,12738500
2019-07-15,52.209999,52.389999,51.060001,51.689999,48.415771,10708500
2019-07-16,52.000000,52.189999,51.509998,51.770000,48.490715,10351100
2019-07-17,51.799999,52.169998,51.509998,51.779999,48.500072,6912500
2019-07-18,51.970001,53.250000,51.869999,52.660000,49.324326,12461000
2019-07-19,52.250000,52.950001,52.000000,52.000000,48.706135,8849700
2019-07-22,52.480000,52.660000,51.970001,52.009998,48.715504,6388400
2019-07-23,52.270000,52.380001,51.400002,51.400002,48.144146,12670600
2019-07-24,51.560001,52.650002,51.470001,52.330002,49.015236,15387500
2019-07-25,52.380001,52.520000,50.060001,50.119999,46.945225,17712000
2019-07-26,50.799999,50.810001,49.930000,50.000000,46.832829,8108800
2019-07-29,50.150002,50.639999,49.820000,50.450001,47.254326,5092200
2019-07-30,50.220001,50.700001,49.110001,49.939999,46.776627,9245000
2019-07-31,50.099998,50.200001,49.200001,49.220001,46.102234,11333700
2019-08-01,49.799999,50.470001,48.689999,48.750000,45.662006,14858500
2019-08-02,48.750000,49.349998,48.000000,48.759998,45.671371,8303900
2019-08-05,47.740002,48.759998,47.419998,47.849998,44.819008,8485400
2019-08-06,48.490002,49.070000,48.209999,48.500000,45.427841,8574100
2019-08-07,48.299999,48.779999,47.549999,48.450001,45.381004,11418500
2019-08-08,49.639999,49.680000,48.470001,48.799999,45.708839,12180400
2019-08-09,48.860001,49.180000,48.299999,48.650002,45.568336,8307100
2019-08-12,47.709999,47.799999,46.959999,47.000000,44.022858,10649600
2019-08-13,46.939999,48.250000,46.790001,47.549999,44.538017,9635700
2019-08-14,46.950001,47.070000,45.689999,45.889999,42.983166,11501500
2019-08-15,46.150002,46.639999,45.250000,45.849998,42.945702,10846200
2019-08-16,46.349998,46.549999,45.349998,45.730000,42.833305,9747600
2019-08-19,46.000000,46.689999,44.730000,44.830002,41.990311,10455600
2019-08-20,45.020000,45.180000,44.070000,44.790001,41.952847,6599800
2019-08-21,45.869999,47.459999,45.740002,47.349998,44.350681,13650300
2019-08-22,47.400002,47.560001,46.380001,46.650002,44.110668,7532600
2019-08-23,46.099998,46.540001,44.720001,44.950001,42.503197,13059000
2019-08-26,45.380001,45.700001,43.759998,44.740002,42.304626,6997400
2019-08-27,45.349998,45.599998,43.439999,44.380001,41.964226,12602900
2019-08-28,43.959999,44.299999,43.639999,44.009998,41.614361,8452100
2019-08-29,44.209999,45.220001,44.029999,45.080002,42.626122,8744900
2019-08-30,45.180000,46.560001,45.090000,46.240002,43.722973,11986000
2019-09-02,46.240002,46.790001,45.400002,45.650002,43.165096,5389200
2019-09-03,45.400002,46.320000,44.619999,44.799999,42.361355,11078700
2019-09-04,45.380001,45.930000,44.980000,45.860001,43.363659,7026800
2019-09-05,46.099998,47.779999,46.090000,47.459999,44.876568,12359200
2019-09-06,47.900002,49.389999,47.900002,49.389999,46.701511,14039100
2019-09-09,49.549999,50.529999,49.270000,50.000000,47.278305,13483300
2019-09-10,50.349998,50.500000,48.880001,49.160000,46.484024,8448200
2019-09-11,49.500000,49.970001,47.990002,47.990002,45.377716,14094600
2019-09-12,48.320000,48.369999,47.400002,48.000000,45.608578,10199500
2019-09-13,48.070000,48.500000,46.900002,47.139999,44.791416,7975100
